no,name,rarity,attribute,story,cutin1,cutin2,cutin3
479,[覇壊王]宝条まゆ,6,光,救難信号を察知した宝条まゆは、その信号が発信されたとおぼしき地へと降り立っていた。間違いなく、この最果ての地、更には彼女が居る近辺から、救難信号が出されていたようだが、残念ながらその主を見つけることは出来なかった。だが、諦めるにはまだ早く、彼女は手がかりを求め「帝国」の方角へと飛び立っていった。,信号確認,座標確定,補給開始
480,[耐火王]宝条まゆ,6,光火,宝条まゆは、火口に居た。一年を通して有毒な気体を噴出し続けるその火山には、幾つか複数の火口があり、それら火口の中央に、一層激しく煮えたぎる火口がある。今回の指令は、その火口の底に眠る或る物を回収してくる事であった。宝条まゆは、試しに片足を溶岩に入れる。着衣は燃えたが本体にはなんら影響が無いことを確認すると、彼女は即座に潜火を開始した。,激烈加熱,着衣燃焼,補修開始
481,[潜水王]宝条まゆ,6,光水,宝条まゆは、深海に居た。未来からの指令は多岐にわたり、この時代における海洋調査もその内の重要な一つであった。深海には様々な生物が存在する。数多の手足を持つものや、長い胴を持つドラゴン。独自の生態系を築くそれらがひとしきり現れた痕、深海は更なる闇に包まれる。光が一切届くことのない真の闇の中で、宝条まゆは翠色に輝くそれを見つけた。,潜水開始,加水重圧,調整開始
482,[刻帝王]クロノ,6,闇,雨が二人を打ち続ける中、クロノは彼女に銃口を向ける。と、彼女は手にした注射器状の槍を突き出して、苛烈な速度で迫り来る。クロノはそこに銃弾を打ち込む。数発肉をえぐったものの、構わず彼女は突進してくる。そしてついに槍がクロノを射す。捕ったと彼女が思った瞬間、クロノが地を蹴り、槍が彼の体を貫通する。毒は這入らず、クロノは彼女の腹に銃口を当てる。,5秒で仕留めるッ,……甘いな,ここだ
483,[潜入王]クロノ,6,闇火,或る「書」を追って、クロノは一人帝国へと潜入していた。王都と異なり、人が一から築き上げた人類の拠点。魔道工学を発展の基盤とし、ドラゴンすらも従える国力は、もはや王国のそれを遥かに上回っていた。だからこそ「書」が帝国の手に渡るのは何としてでも阻止しなければならない。其れが帝国の手中に堕ちれば、今度こそ間違いなく、咎人たちの未来は潰える。,容易い任務だ,……なるほどな,そこだ
484,[潜伏王]クロノ,6,闇水,クロノは一人、調査を進めていた。自身の元・主たる書の王が潜むという「禁書館」。その場所を探し、彼は王都へと潜伏していた。クロノすら知らず、また誰にも探し出すことは出来ないと言われる禁書館だが、ついに先日、仲間の一人がそれを見つけたという。早速仲間との合流場所に到着したクロノだが、それこそ彼女のワナであった。,油断大敵,……把握した
485,[夢幽王]ヴェルベット,6,火,ヴェルベットは、喫驚の光景に目を疑った。それは、教国に存在する魔導師たち全てに「悪食王」の魂が乗り移るという情景。あちらこちらで猫のような奇妙な笑い声が上がる中、ヴェルベットは目を覚ます。それは単なる悪夢であった。しかし、夢から醒めたはずの彼女の耳に、猫のような奇妙な笑い声が響く。,ただじゃすまさないわ…,ここまでとはね…,焼き尽くさないと
486,[白夢王]ヴェルベット,6,火光,教国が堕ちた後も、ヴェルベットは生き長らえていた。イデアの機転、或いは暴挙によって、ほとんど全ての悪食王は滅んだが、それらを生み出し先導した、軍師ローレッタ、つまり現悪食王はまだ生きている。そして量産された悪食王も、その幾人かは生き延び下界に潜伏した。ヴェルベットの主たるイデアは死んだが、しかし、契約はまだ終わってはいない。,まったく皮肉なものね……,始末をつけないとね,まだ続く……
487,[黒夢王]ヴェルベット,6,火闇,時代は闇の時代へと移り変わろうとしていた。千年ごとに巡ってくる人と竜との戦争の裏側で、ヴェルベットは悪食王との戦いを、一人孤独に続けていた。これまでに量産式悪食王を62体程討伐したものの、いまだ一度も本体へは辿り着いていない。よもや、何処かで朽ち果てたかとも考え始めていた頃、彼女は或る噂を耳にする。それは「悪食竜」なる竜を喰らう竜の噂であった。,なるほどそういうこと……,やっと見つけた,まだ終わらない……
488,[解放王]イデア,6,水,イデアの計画は失敗に終わった。己の内に封印していた「悪食王」の魂は分散し、もはや教国中のあらゆる魔導師の中に這入り込んでいた。このままでは、数千の「悪食王」がヨに放たれることになる。迷っている暇は無く、彼女は即座にある決断を下した。即ちそれは、教国の自壊。この地を堕とし、全てを無に帰す決断であった。,私、もうつかれたわ,ここで終わりにする,一緒に眠りましょう
489,[光魔王]イデア,6,水光,イデアは、その女の問を受けつつも、思考を素早く巡らせていた。一つ、今はどんな時代なのか。二つ、そもそも自分は何故ここに居るのか。三つ、目の前の女は誰なのか。どれもすぐには答えが出そうに無く、ならばと、イデアは女の質問に答え始めた。即ちそれは「刻を止める呪法」についてであった。,さてどうしようかしら……,あなたも所詮はまがいもの,眠気覚ましに丁度いいわ
490,[謀略王]イデア,6,水闇,万事、全てが順調だった。「悪食王」を完全に奪うための計画は水の時代から狂い無い。数千年の時を経て、この時代まで辿り着いた。後は、悪食王自身を呼び出すのみ。猫のような奇妙な笑い声を静かに立てメアリーは、自身を呼び出した者の元へと歩んでいった。,計画は順調ね,悪食王を我が手に……,これも力の片鱗かしら
491,[光霊王]ル・フェイ,6,光,ル・フェイは少女を見守っていた。彼女は王の娘であり、見合った素質を備え持つ。しかし、いずれ少女は病に冒され、体は竜へと近付いていく。それでも少女は挫けずに、仲間と共に先へと進む。王都を襲う災厄から、人々を護り抜き、それは世界を救う希望となる。だが、やがて希望を影が満たす。,あそぼー,あきちゃった,あーそーびーたーいー
492,[火霊王]ル・フェイ,6,光火,ル・フェイは少年を見守っていた。彼は、幼き頃にかけがえのない姉を失う。それから強く、逞しく育ち、姉との約束を果たすべく騎士となる。やがて王都で仲間と出会い、彼らを率いて災厄に立ち向かう。しかし、いずれある大きな決断を迫られる。,あっそぼー,あきちゃったなー,あーそーぼー
493,[水霊王]ル・フェイ,6,光水,ル・フェイは娘を見守っていた。その娘は竜神族の末裔として生まれ、予言を元に王都を訪れる。類稀なる意志と智慧で、仲間と共に災厄を退け、ついにはある座を受け継いでいく。やがて真なる闇が世界を覆うとき、娘の決断が世界を救う一端となる。,あそぼーよー,あーそーんーでー
494,[禁書王]ユーリカ,6,闇,ユーリカには、元となった存在が居ない。「書」から生まれた造られし偶像、それが彼女であった。もはや己を造り出した創造主の束縛から外れたため、自由な思考と行動権を獲得しており、またその「眼」から逃れるべく、難攻不落の王都にて「禁書館」を築いた。惑いはそれすら、創造主の思惑通りかもしれないが、今は己の意志を信じ、ただひたすらに準備を進める。,対象の記録を終了する,真理の刻は近い,断罪する
495,[焰書王]ユーリカ,6,闇火,そのユーリカは「火の時代」の書を著す。膨大な書を造り出すには、ユーリカ個体の能力では物理的な難が生じる。そのため彼女は、自分で自分の魔導書を出力し、そこから彼女自身を呼び出した。個体によって特性を分け、今は合計五体のユーリカが存在している。ちなみに元来からの性質か、整理整頓が苦手であり、書の管理のみ人畜無害なよりしろに任せている。,焔の書、業火の如く,あれどこやったっけ……,封印する
496,[瀧書王]ユーリカ,6,闇水,元より継がねばならぬことであった。その娘を禁書館へと招き入れたのは、勿論ただの気まぐれでは無く、己の意志と、娘の強いが引き合った結果であった。数千年を偽りの魂としてあり続けたユーリカだが、その魂はあと数年で消えて亡くなる。だからこそ今、見定めねばならない。その娘、ルカこそ、来るその日に、受け継ぐべき者かを。,瀧の書、清濁の如く,私の意志をお前に継ごう,記録する
497,[白姫王]スノウ,5,水,<span style="color:#FF1493"><strong>[GD7016　七十六の月・水の讃日]</strong></span><br class="spacer">いよいよ、私たちのご先祖様が七千年前に理不尽にも奪われてしまった｢西の世界｣を、天上人から取り戻す戦いが始まろうとしています。この戦いに向け、私は幼少の頃より厳しい鍛錬を積んで来ました。なのに…それなのに……こんな仕打ちはあんまりです、主さま。まさか私が……あんな悪魔的に腹黒い、史上最低の王の護衛をしなきゃならないなんて……。,わたしがいきます！,まかせてください！
498,[雪姫王]スノウ,6,水,<span style="color:#FF1493"><strong>[GD7017　三の月・水の讃日]</strong></span><br class="spacer">気が付けば、最近はため息ばかりついているように思います。王、即ちポポルの護衛を任された私は、悪魔的ともいえるその思考と奇行に、毎日振り回されているのです。幼馴染でもあるポポルですが、幼少の頃は、心優しい素直な方でした。しかし、千年ほど前、前回の天上人との戦いで、父であり前王でもあったパパル様を亡くしてから、その様子はがらりと変わってしまいました。,しっかりしなきゃ！,わたしが必ずまもります！
499,[征伐王]ポポル,5,火,<span style="color:#FF1493"><strong>[GD7016　七十二の月・火の讃日]</strong></span><br class="spacer">この｢東の世界｣を治める我がポップリオン家とその従属者たちは、ついに天上の地へと攻め入ることとなった。これは天上の住人｢りゃくだつしゃ｣たちが七千年前に我らから奪っていった｢西の世界｣を、この手に取り戻すための戦いである。奪われたものは、奪い返さねばならない。そう、今こそ、父と祖先の無念を晴らす時が来たのだ。,こやつめ,ゆだんしたな
500,[征服王]ポポル,6,火,<span style="color:#FF1493"><strong>[GD7017　五の月・火の讃日]</strong></span><br class="spacer">七千年ほど前｢りゃくだつっしゃ｣たちが我らから奪っていった｢西の世界｣は、いまや我らが祖先の成れの果て、即ち｢ドラゴン｣なる魔獣が支配している。強大な力を持つドラゴンだが、聞く所によれば、西の世界の住人たちは魂を対価にドラゴンを討つ技や術を持つと云う。彼らと共に戦うことが出来れば、我らが西の世界を奪還出来る日も近いだろう。,こころしてゆくぞ,ついてこい
501,[めいおう]あぬびす,5,闇,<span style="color:#FF1493"><strong>[GD5312　三十八の月・闇の讃日]</strong></span><br class="spacer">｢りゃくだつしゃ｣たちをほろぼすため、私たちはまず｢西の世界｣へと潜入した。既に過去数千年前から、いくにんもの仲間が同じようにじゅんびを進めている。これは選ばれし我らの使命。来たるべき新世界を手にするため、私たちはいよいよ行動を起こす。｢王｣の力を手にした今、｢りゃくだつしゃ｣はおろか、パパル王率いる憎きポップリオン家すら、もはやおそるるにたらぬ。,ねむりなさい,じょうかしましょう
502,ユリィ,3,水,<span style="color:#FF1493"><strong>[GD5682　五十八の月・水の讃日]</strong></span><br class="spacer">わたしにはお姉ちゃんがいます。お姉ちゃんはとっても強くて、やさしいので、困っている人や、悩んでいる人を放ってはおけないたちなのです。だから泣き虫ポポルがいつものように泣いていると、お姉ちゃんはすぐに駆けつけてあげます。ほんとはもっと、私のことも見てもらいたいけど、それはいいのです。私はお姉ちゃんとおなじで、心がつよいのでだいじょうぶなのです。,えいやっ,むむむてごわい
503,参謀のユリィ,4,水,<span style="color:#FF1493"><strong>[GD7018　十七の月・水の讃日]</strong></span><br class="spacer">なんということだ……姉さまが王の護衛に就くことになろうとは……。このようなことにならぬよう、私なりに尽力してきたつもりだったが詰めが甘かった。いずれ時期が来れば姉さまとポポル王を引き合わせるつもりであったが、いまはまだその時では無い。だがしかし、すでに引き合ってしまったのなら、仕方が無い。たまには流れに身を任せてみよう。,うごきをとめる！,なやみはつきぬ……
504,ピッピ,3,光,<span style="color:#FF1493"><strong>[GD7019　六十二の月・光の讃日]</strong></span><br class="spacer">戦況は、いまだきんこう状態にあると言えます。私たち第八中隊も、なかなか攻め手に欠けており、勝機を捉え切れてはいません。しかし、何度かの交戦をへて、こちらの攻撃が確実に｢りゃくだつしゃ｣たちに通用するという確信を得ることができました。このまま攻勢を維持できれば、近い内に必ず勝機は訪れるはずです。ただ、先日、第二大隊を壊滅に追いやったドラゴンなる謎のものの情報だけが気になります。ほうこくおわり。,こうげきかいしー！,わたしたちはまけないわ！
505,笛吹きのピッピ,4,光,<span style="color:#FF1493"><strong>[GD7022　七十七の月・終の讃日]</strong></span><br class="spacer">戦況は、はっきり言って良くないと言えるでしょう。一年の終わりをこのような報告で終えるのは心苦しいですが、事実は事実として受け止めなければなりません。幸いにも、わが隊の被害は少なく、犠牲も最小限に食い止めることが出来ました。ですが「りゃくだつしゃ」たちが率いるドラゴンなるものの力は予想以上のきょういといえます。然るに、一刻も早い、西の世界の住人たちとの協力関係が望まれます。ほうこくおわり。,ひるむないくぞー！,とつげきー！
506,ギル,3,火,<span style="color:#FF1493"><strong>[GD6006　五十九の月・火の讃日]</strong></span><br class="spacer">すごくお腹がへりました。もう何日も、何も食べ物をもらっていません。ここがどこかも分かりません。とても暗い、おおきな船の中のようですが、周りには僕と同じような方がたくさん居るみたいです。今、ひとつだけある窓から月あかりがさしてきて、かろうじてこれを書くことが出来ています。でも明日は書けるか分かりません。あぁ、とてもおなかがへ,のどがかわいたなぁ,おなかすいたなぁ
507,鍋冠のギル,4,火,<span style="color:#FF1493"><strong>[GD7016　七十六の月・火の讃日]</strong></span><br class="spacer">俺もいよいよ天上の地に住む｢りゃくだつしゃ｣とやらとの戦いに駆り出されることになった。ちょいと耳にした話によりゃあ、なんでもその昔、俺らのご先祖さんから｢西の世界｣を奪ったとんでもねぇ奴らなんだと。まぁそりゃ、相手にも話を聞いてみなきゃホントはどっちが悪いかなんて分からんけども、でも｢西の世界｣には兎に角、旨いもんがたくさんあるって聞いて、即承諾したよ。,おれにまかせとけ！,くう！ねる！たおす！
508,ムイ,3,闇,<span style="color:#FF1493"><strong>[GD5251　四十八の月・闇の讃日]</strong></span><br class="spacer">僕はいずれ、とてもえらい学者になるということを心に決めている。なぜならば学者というのは、とても頭がよくて、ものしりな者のことだからである。さらに、その学者のなかで一番えらいということは、一番、頭もよいということだ。そのような者に、僕がならずして、誰がなるというのか。そうだ、僕はかならず学者になって、お母さんの病気をなおすんだ。,こいつめっ！,すこしつかれた
509,裸足のムイ,4,闇,[GD----　---の月・-の讃日]<br class="spacer">ムイへ<br class="spacer">ありがとう、ムイ。あなたは頭のよい子だから、きっとなんにでもなれると、お母さんは思います。お母さんはとてもうれしいです。ムイが立派に育ってくれて、お母さんの心配までしてくれたのですから。だから、もう大丈夫。ムイの日記を読んでいたら元気が出てきて、病気もなおっちゃったみたいです！だからね、ムイ、いつかここから出られたら、あなたは自由に、生きてください。,ぼくはけっしてゆるさない,つみをつぐなうがいい
510,夏のよりしろ(暑中見舞い),5,無,<span style="color:#FF1493"><strong>暑中見舞い(レベルアップ合成・進化合成用)</strong></span><br class="spacer">夏のきびしい暑さとともにやって来た、涼しげなよりしろ。他のよりしろに比べてやや無計画。,うみいきたいなー,あっちー
511,[探偵王]ベルモント,5,水,ベルモントは、すこぶる極めて頭が良い。彼の元には事あるごとに事件の調査依頼が舞い込み、彼はその都度その知能をもってして、数々の難事件を解決してきた。王妃マリアンヌ誘拐事件、黒霧城殺人事件、ガリムア男爵毒殺事件。あらゆる全ての事件にて、必ず犯人を突き止めてきた彼であったが、しかし必ずしもそれが｢真なる真実｣であるとは限らなかった。,祖母の誇りにかけて,真実は既に見えた,解決……だな
512,[偽真王］ベルモント,6,水,ベルモントの元に事件のあらましが伝えられると、彼はおおよそ二秒ほどでその事件の真相に辿り着く。そして彼は組み替えてしまう。塵一つもの矛盾も無く、真実は、彼の思い描く「幸福な真実」へとすり替えられる。優しき犯人は犯人で無くなり、許されざる傍観者が犯人となる。人の定めた法だけで、善と悪とを量る術にはなり得ない。そしてその信念は、彼が偽る最後の事件「老竜王殺害事件」にて、幕を下ろす。,善と悪とを推し量れ,これが唯一の真実だ,真実が一つとは限らない
513,[光王]ジャンヌ,5,光,王女にして騎士団長、可憐にして豪胆、大食いにして大酒飲み。まさにお転婆を絵に描いたような彼女、ジャンヌこそ、その後様々な者の手に渡り、様々の因果を作り出す｢聖剣｣の初代｢運用｣者であった。もっとも、その頃はまだ｢聖剣｣とは呼ばれず、神々が造り出した伝説の神器としてされており、それを手にしたジャンヌは聖女として国中の人々から崇められていた。,さぁ、いくわよ！,我が剣は、道を示す！！,私につづけー！
514,[聖王]ジャンヌ,6,光,ノアルとアランは、ほとほと困り果てていた。ジャンヌは部下である彼らは、その日も城を抜け出し城下へと遊びに出た彼女を探し出す為、額に汗かき四方八方を捜索していた。たびたび問題を起こす彼女に手を焼く彼らだったが、もっとも彼らを含め、民衆や騎士団の者たちは皆、それもまた彼女の魅力の一つであるとし、温かな目で若き聖女を見守っていた。しかし王家の中枢の一部では、それに異を唱える勢力が現れ始めていた。,我が剣が、道を開く！！,こっちからいくわよ！,我ら、聖なる光とともに！
515,[孤王]パルメ,5,火,パルメは｢東の世界｣に住む数少ない人類種である。まだ言葉も喋れぬ幼少の頃、両親とともに乗船していた船が難破し、彼女は一人｢東の世界｣へと流れ着いた。当初、その地の者たちに｢りゃくだつしゃ｣と判断され、処刑される寸前にまで陥った彼女であったが、それに唯一、異を唱えたのがポップリオン家現当主、即ちポポルであった。,オマエ、エサ！,カカテコイ！,ヤッチャウヨー
516,[狩猟王]パルメ,6,火,或る森の中、一人の少女が自分よりも数倍大きな体躯を持つ獣を討ち取り、勝利の雄叫びを上げている。パルメが｢東の世界｣に流れ着いてから十四年の年月が経っていた。現王ポポルの決断により、処刑を間逃れた彼女であったが、やはり周囲からの風当たりは強く、この人里離れた山の中で、一人孤独に暮らすことを強いられていた。だが、言葉も文化も知らぬ彼女は、その時はまだ｢寂しさ｣という感情を抱くことは無かった。,ハラヘター！,ウチトター！！,ツイテナイネ
517,[切裂王]ギブス,5,闇,[手配書 NO.0037]<br class="spacer">「名称」<br class="spacer">ギブス・ジャッカル<br class="spacer">「罪状」<br class="spacer">強盗、傷害、誘拐<br class="spacer">「備考」兄弟と共に悪事を働く悪党。二人を率い、様々な悪事を働くが、残忍さにおいて圧倒的に二人を上回る。尚、「拐いのザメリ」と共に海を渡ってやって来た「来訪者」である可能性が高い。,ココ、ドコダ？,ウチニ、カエリタイ……
518,[斬裂王]ギブス,6,闇,[手配書 NO.0037 ※更新] <br class="spacer">｢名称｣<br class="spacer">ギブス・ジャッカル<br class="spacer">｢罪状｣<br class="spacer">殺人、人身売買、反逆<br class="spacer">｢備考｣<br class="spacer">｢ジャッカル三兄弟｣の長。白昼堂々民家に押し入り、女子供を連れ去っては｢拐いのザメリ｣に売り払っている。必ず残忍は方法で処刑することから｢斬り裂きギブス｣との異名で恐れられる。,ミチ、マヨッタ,ハヤク、カエリタイ……
519,[人造王]FAZ-06S,5,光,人造魔道機は通常、知能を与えられることは無い。なぜなら、それは即ち、思考の自由を与えることになるからである。束縛された自由はいずれ反逆を生む。だが、一部の人造魔道機は、特例として自我を与えられている。「人」そのものを原材として作られたFAZ系統機体もその一つであり、それらは全て「元・罪人」の者たちを「中身」としていた。,……認証成功,……排除開始
520,[機動王]FAZ-06ST,6,光,FAZ-06Sの元に緊急配備が命じられる。上官から受けたその指令は「脱走魔導器」の排除であった。脱走した機体は、認証番号HOJ-021D。それほど下位の機体であれば、自我を持たぬのは勿論のこと、流れ作業程度の業務しかこなせず、仮に暴走が原因だとしても「脱走」という言葉が適用されるのはおかしい。外地用装備に換装したFAZ-06STは真相を知るべく、外の世界へとその一歩を踏み出した。,……承認成功,ったく、この体は肩がこる
521,[秘呪王]キルマ,5,闇,<span style="color:#FF1493"><strong>[GD4802　二十一の月・闇の讃日]</strong></span><br class="spacer">我がバビリオス家につたわる秘術を、わたしはついに発見した。そのむかし、我らの祖先たるものたちが操ったというその力は、必ずや来たるべきその日に我らの切り札となるであろう。だが、それだけではない。憎きポップリオン家との、長きにわたる因縁も、この力で終わらせてみせよう。<br class="spacer">だが、その前に母に相談しなくては。,あさはかなり,ここから去るがいい
522,[秘法王]キルマ,6,闇,<span style="color:#FF1493"><strong>[GD5902　六十八の月・闇の讃日]</strong></span><br class="spacer">ついに到達した解がある。すなわちそれは｢りゃくだつしゃ｣たちを滅ぼす反撃ののろしとなるだろう。また、数千年もいぜんから、｢東の世界｣へ種をまいた。彼らは観察し、そして手に入れた。あまたの｢王｣のその力。選ばれし者たちは、西から、我ら解を持つ者は、東から。今こそその地を、我らの手に。うむ。まぁ、だが、最後にもう一度だけ母に相談しておこう。,てぬるいな,みにくき者らめ
523,[ざいおう]べるべ,5,火,<span style="color:#FF1493"><strong>[GD5124 二十五の月・火の讃日]</strong></span><br class="spacer">私が手に入れたのは、ある「つみをせおいし王」の力であった。ほかの仲間がだれに目をつけたのかはわからぬが、おそらくこの「王」なる者達の力を手に入れていることはめいはくである。「りゃくだつしゃ」たちを滅するのに適するのは、「西の世界」の中でも、この者たちをおいてほかにはない。くわえてさらに「どらごん」すらも、この力の前ではおそるるに足らぬ。,おとどけものよ！,おちぶれたものね……
524,[攻王]ヴェスパ,5,水,帝国軍第三大隊隊長、ヴェスパ。純血では無い彼女がその地位を与えられたのは、尋常ならざる彼女の帝国に対する忠誠心に依るところが大きい。また、己の全てを顧みず、ありとあらゆる手段を用い地位を手に入れた彼女は、他の隊長格の者たちから侮蔑の眼差しを向けられていた。だが、彼女にとってそのような事は歯牙にもかけぬ問題であり、即ちそれはヴェスパの描く計画に、何の影響も及ぼすことは無いという事でもあった。,死ぬまで尽くして,愉悦を感じなさい,剥き出しのまま震えなさい
525,[拷王]ヴェスパ,6,水,一人の少女が物乞いをしている。薄汚れ、痩せ細り、その瞳はひどく濁っていた。往来を行く者達は、しかし特に関心も持たず過ぎ去って行く。この街には少女のような者はごまんと居た。そしてそれらの者は、ただ死ぬ為だけに日々を生きていた。と、物乞いを続ける少女の小さな手の平に大きなパンがのせられる。少女が顔を上げると、そこには女軍人の姿があった。彼女は穏やかな眼差しを少女に向けると、静かにその場を後にした。,ほら、耐えてみなさい,どう、気持ち良いでしょ？,豚のように悶えなさい
526,[司令王]シュナイデル,5,光,帝国軍第零大隊隊長、シュナイデル。帝国最強の部隊を率い、それと同時に帝国軍全軍を総括する彼は、まさしく帝国の支配者と呼ぶに相応しい存在であった。誰も彼には逆らわず、彼もまた、生まれながらにしてあらゆる人間を統べる素質を、文字通り備え持っていた。それは定められし血の特質。目的のためには手段を問わず、そして生じる如何なる犠牲もいとわない。虚無たる彼は心を持たず、ただ神もろともにドラゴンを駆逐する。,排斥する,朽ちろ,動くな
527,[帝国王]シュナイデル,6,光,決して触れてはならぬ領域。神ですら許されぬ禁断に帝国は手をかけた。即ちそれは人そのものの模造。彼らは兼ねてより、人の体と魂の研究を行ってきた。結果もたらされたのは、人体の細胞と魂の配列を元に、人が造りし純然たる人間、通称「純血」。しかし禁忌を侵した帝国は、純血もろとも神々によって一度滅ぼされる。それからおよそ二千年。着々と再建が成されていた帝国は、「或る書」を求め、シュナイデルを筆頭とした純血らを再び稼働させた。,滅びよ,駆逐する,是非も無い
528,[或王]ヘウ・リスコー,5,闇,<span style="color:#FF1493"><strong>[序文]</strong></span><br class="spacer">君は、果たして私が何者であるかを知るために、この本を開いたことであろう。しかし、私の正体は私ですら知らないのだ。だから追究するのはやめておいた方が良い。これを読んでも、君は決して何も知ることは出来ない。それでもよいと言うのなら、この物語を開くといい。有象無象なる不定の真実が其処にある。,親心、子知らずか,まったく、骨が折れる,僕の趣味では、無いな
529,[蔵書王]ヘウ・リスコー,6,闇,<span style="color:#FF1493"><strong>[後書]</strong></span><br class="spacer">君の推察は、近からず、遠からず、しかしまた、当たらず。どこまでいっても、私はただの本であり、そして私はただの本である。ここには膨大な文字が紡がれているが、やはりここにはなんの物語も無い。その通り。紡ぐ者には物語など必要無い。紡いだ書たちが、それら全てで物語となるのだ。,手間の掛かる子だ,やれやれ、少しお眠りよ,少し、楽をさせて貰うよ
530,ガルス,3,火,[手配書 NO.0295]<br class="spacer">「名称」<br class="spacer">ガルス・ジャッカル<br class="spacer">「罪状」<br class="spacer">強盗、誘拐<br class="spacer">「備考」<br class="spacer">極悪非常の小悪党集団「ジャッカル三兄弟」の次男坊。弟である「ダムス」と共に強盗として活動中。見つけ次第、生死不問で届けられたし。,ウーン……,ココハ、イッタイ……
531,強奪のガルス,4,火,[手配書 NO.0295 ※更新]<br class="spacer">「名称」<br class="spacer">ガルス・ジャッカル<br class="spacer">「罪状」<br class="spacer">殺人、人身売買、反逆<br class="spacer">「備考」<br class="spacer">飛ぶ鳥を落す勢いで悪事を重ねる「ジャッカル三兄弟」の次男。兄であるギブスほど残忍では無いものの、盗みの腕は兄のそれを上回る。見つけ次第、生死不問で届けられたし。,ニイサーン！！,ナゼ、コンナコトニ……
532,ダムス,3,闇,ダムスは常日頃より、族長から「西」の話を聞かされていた。否、近頃においてはむしろ、ダムスの方から族長に話をせがむようになっていた。元より、族内でも学識高かったダムスは、かつて一度だけ「西の世界」に行ったことがあるという族長が話す、「ドラゴン」や、その他「東」には無い章句部、獣に興味を惹かれ、いつの日かそれらを目に出来る事を願うようになっていた。そしてそれは叶う。誰も望まぬ悲しき結末の果てに。,ユメニマデミタ、ヤツ！,モッテ、カエリタイナー！
533,悪知恵のダムス,4,闇,[手配書 NO.0022 ※更新終了]<br class="spacer">「名称」<br class="spacer">ダムス・ジャッカル<br class="spacer">「罪状」<br class="spacer">殺人、人身売買、反逆<br class="spacer">「備考」<br class="spacer">捕縛。近日中に、断頭の刑に処す。残る二人の兄弟に関しても、早期の捕縛が望まれる。,ワルイコト、シテナイ…,ミンナ、ブジダトイイナ…
534,ザメリ,3,水,東と西。その両の世界を股に掛け、悪事を働く組織があった。彼らは様々な土地に乗り込んでは、そこに住む人、獣、竜、人形を見境なく連れさらい、時に自らの奴隷とし、時に奴隷として売り捌き、そして時にはその命を奪い商材として扱っていた。組織の名は｢A・スミス貿易真社｣。西で生まれ、東で育った闇の商社である。そしてその頂点に君臨する｢五豪｣の一人｢囚水王｣に仕えるのが第六地区長｢拐いのザメリ｣であった。,くたばれカスがッ！！,引っ込んでろノロマッ！！
535,拐いのザメリ,4,水,ザメリの顔は、その十分な収穫を前にして醜悪な笑みに歪んでいた。「東の世界」に生息している「亜人」たちは高値で取引される。それは軍力を求め続ける「帝国」であれば尚更お事であった。そのような市場がある中で今回ザメリが目を付けたのは、絶滅が懸念されている「王牙族」の者たち。他者を疑うことを知らぬ、心優しき王牙族の捕獲は、ザメリにとってはまさに朝飯前に済むほど容易な仕事であった。,うごくなグズがッ！！,引っ込んでろボケがッ！！
536,HOJ-021D,3,光,<span style="color:#FF1493"><strong>[帝国機械兵活動原則]</strong></span><br class="spacer">1、決して人には逆らわぬこと<br class="spacer">※ただし、外地の人間は除く<br class="spacer">2、決して人を傷つけぬこと<br class="spacer">※ただし、外地の人間は除く<br class="spacer">3、決して自己を守らぬこと<br class="spacer">※修理費は、再生費より高額<br class="spacer">4、決して夢などみないこと,対象ヲ発見シマシタ,制圧行動ヲ開始シマス
537,HOJ-021DS,4,光,HOJ-021が目をさますと、そこは廃材処理場であった。身を起こし辺りを見渡すと、自分と同じ顔を、今はもう動かぬ機体たちが、無造作に積み上げられていた。そこは深き谷。昼でも薄暗く、壊れ、無用となったロボットたちの永遠の墓場。本来ここにきた物は二度と動かぬはずであるが、なぜだか、HOJ-021は再び動き出した。だが、HOJ-021がそれ以上に驚くべきことは、自身に自我が目覚めている、というその事実であった。,…ゴメンナサイデス,外ノ世界ヲ見テミタイデス
538,超悪いかぼしろ（超成功用）,6,無,<span style="color:#FF1493"><strong>レベルアップ合成・超成功用</strong></span><br class="spacer">ひょんなことから無理やり仮想させられた、物凄く不機嫌なよりしろ。合成素材として使用すると悪さを働き、必ず超成功にしてくれる。,かしよこせー,めんどーだー
539,スタしろ(スタミナ回復用),6,無,<span style="color:#FF1493"><strong>スタミナ回復用</strong></span><br class="spacer">ひょんなことから応援に目覚めた、少し前向きなよりしろ。売却することでプレイヤーのスタミナを｢1｣回復してくれる。,ふぁいとー！,がんばれー！
540,[義心王]葉空すみれ,5,闇,遙かなる未来。そこには二種の人造兵器が存在していた。一つは、体も知能も心すら、全てを人が造り上げた完全なる機械の人間。そしてもう一つは、死んだ人間を素体とし、足りぬ命を機械で補った半機半人の人間。未来の人類はこれらの兵器を用いて、戦争を行っていた。それは、誰も死なぬ戦争。兵器だけが、造られ、壊れ、消費されていく戦い。機械が持った心だけが、ただひたすらに潰されてゆく日々。,任務承諾、斬ります,そこに未来があるのなら,機械にだって心はある
